Designator,Mid X,Mid Y,Rotation,Layer
3.3V_TEST1,200.8,-39.4,90,top
5V_TEST1,215.8,-39.4,90,top
12V_TEST1,201.2,-124,90,top
C1,234.9,-76.4,-90,top
C2,198.4,-79.2,180,top
C3,237,-42,0,top
C4,239.975,-30.8,0,top
C5,245.25,-39.4,180,top
C6,245.2,-43.5,180,top
C7,225.65,-27.55,90,top
C8,232,-24.175,90,top
C9,234.8,-121.6,-90,top
C10,241.575,-105.8,0,top
C11,241.725,-118.7,0,top
C12,241.7,-94.1,0,top
C13,194.825,-72.4,180,top
C14,199.7,-68.975,90,top
C15,199.8,-64.175,90,top
C16,237.5,-37.6,0,top
C17,236.6,-95,-90,top
C18,236.6,-107,-90,top
C19,194.95,-67.35,180,top
F1,236.31,-65.5,90,top
J1,252.7,-67.4,90,top
L1,245.45,-33.3,180,top
R1,230.5,-116,180,top
R2,230.6125,-92.3,180,top
R3,230.2,-104.5,180,top
R4,134.95,-109.35,-90,top
R5,139.5,-109.75,-90,top
R6,206.85,-29.1,-90,top
R7,220.65,-32.3,90,top
R8,210.05,-121.25,180,top
Thruster1,252.5675,-91.99,90,top
Thruster2,252.5675,-104.49,90,top
Thruster3,252.5675,-116.49,90,top
U1,237.6375,-33.45,-90,top
U2,229,-27.4,180,top
U4,237.35,-89.8,0,top
U5,237.35,-101.8,0,top
U6,237.35,-113.8,0,top
U7,200.05,-75.35,180,top
